name,departement,region,Fermeture_Estivale,colors,longitude,latitude
PADA 92,Hauts-de-Seine,Île-de-France,Fermé,red,2.188311800000065,48.895506
PMI Méditerranée,Hauts-de-Seine,Île-de-France,Fermé,red,2.2893457999999782,48.7382808
PMI Grésillons,Hauts-de-Seine,Île-de-France,Fermé,red,2.298116499999992,48.9131828
PMI Delorme,Hauts-de-Seine,Île-de-France,Fermé,red,2.296294,48.91083219999999
PMI Legouté,Hauts-de-Seine,Île-de-France,Fermé,red,2.2966656999999486,48.7446553
PMI et CPEF Mourinoux,Hauts-de-Seine,Île-de-France,Fermé,red,2.275940300000002,48.9318144
Centre de protection maternelle et infantile (PMI) de Bagneux,Hauts-de-Seine,Île-de-France,Fermé,red,2.3030710000000454,48.786671
PMI Jean Marin Naudin,Hauts-de-Seine,Île-de-France,Fermé,red,2.320539999999937,48.8051252
Centre de protection maternelle et infantile (PMI) de Bois Colombes,Hauts-de-Seine,Île-de-France,Fermé,red,2.2710650000000214,48.9127188
PMI Rochefoucauld,Hauts-de-Seine,Île-de-France,Fermé,red,2.2395850000000337,48.8462639
Centre de protection maternelle et infantile (PMI) de Malakoff,Hauts-de-Seine,Île-de-France,Fermé,red,2.2881649999999354,48.81467730000001
PMI Pavé blanc,Hauts-de-Seine,Île-de-France,Fermé,red,2.238979400000062,48.7817428
PMI L'Eglise,Hauts-de-Seine,Île-de-France,Fermé,red,2.263293400000066,48.7993964
CPEF de l'Hôpital Antoine Béclère,Hauts-de-Seine,Île-de-France,Fermé,red,2.2549008999999387,48.7885168
PMI et CPEF Chagall Goüin,Hauts-de-Seine,Île-de-France,Fermé,red,2.3111359,48.9020292
CMS des Quatre Chemins,Hauts-de-Seine,Île-de-France,Fermé,red,2.2275716999999986,48.9121791
PMI Saint-Denis,Hauts-de-Seine,Île-de-France,Fermé,red,2.2709456000000046,48.9008562
PMI Guynemer,Hauts-de-Seine,Île-de-France,Fermé,red,2.245247,48.896414
CMS Simone Veil,Hauts-de-Seine,Île-de-France,Fermé,red,2.2879322,48.78931679999999
PMI 4 Vents,Hauts-de-Seine,Île-de-France,Fermé,red,2.1952929,48.84731
PMI Le Luth,Hauts-de-Seine,Île-de-France,Fermé,red,2.2850605999999516,48.9321174
PMI Mocquard,Hauts-de-Seine,Île-de-France,Fermé,red,2.2913942,48.9238017
