catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Accompagnement social,2142,463.0,21.6,1679.0
Conseil administratif,1867,445.0,23.8,1422.0
Activités,1859,773.0,41.6,1086.0
Accompagnement à l'emploi,1227,310.0,25.3,917.0
Permanence juridique,1206,475.0,39.4,731.0
Formation français,968,559.0,57.7,409.0
Psychologie,844,210.0,24.9,634.0
Ordinateur,742,223.0,30.1,519.0
Colis Alimentaire,624,308.0,49.4,316.0
Domiciliation,624,45.0,7.2,579.0
Suivi grossesse,521,126.0,24.2,395.0
Vêtements,517,258.0,49.9,259.0
Soins enfants,509,138.0,27.1,371.0
Conseil handicap,505,28.0,5.5,477.0
Conseil logement,505,107.0,21.2,398.0
Atelier numérique,448,221.0,49.3,227.0
Soutien scolaire,436,244.0,56.0,192.0
Addiction,425,57.0,13.4,368.0
Accueil de jour,424,149.0,35.1,275.0
Bibliothèque,414,146.0,35.3,268.0
Restauration assise,372,132.0,35.5,240.0
Ecrivain public,368,190.0,51.6,178.0
Généraliste,363,64.0,17.6,299.0
Distribution alimentaire,338,133.0,39.3,205.0
Infirmerie,291,42.0,14.4,249.0
Magasin solidaire,288,127.0,44.1,161.0
Dépistage,270,73.0,27.0,197.0
Sport,240,93.0,38.8,147.0
Douche,219,56.0,25.6,163.0
Prise,216,61.0,28.2,155.0
Epicerie AideSociale,189,84.0,44.4,105.0
Bien-être,188,77.0,41.0,111.0
Vaccination,171,27.0,15.8,144.0
Chantier d'insertion,168,25.0,14.9,143.0
Laverie,153,44.0,28.8,109.0
Dentaire,111,21.0,18.9,90.0
Hébergement à long terme,97,3.0,3.1,94.0
Bagagerie,55,9.0,16.4,46.0
Téléphones,54,15.0,27.8,39.0
Hébergement d'urgence,51,,,
Garde d'enfants,45,18.0,40.0,27.0
Numérisation de documents,42,2.0,4.8,40.0
Musée,39,6.0,15.4,33.0
Protections périodiques,24,12.0,50.0,12.0
Logement bas prix,17,,,
Espaces de repos,16,2.0,12.5,14.0
Animaux,10,1.0,10.0,9.0
Halte de nuit,9,1.0,11.1,8.0
Masques,8,4.0,50.0,4.0
Vétérinaire,6,1.0,16.7,5.0
