catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Conseil administratif,282,136.0,48.226950354609926,146.0
Accompagnement social,259,85.0,32.818532818532816,174.0
Activités,235,119.0,50.638297872340424,116.0
Conseil handicap,143,65.0,45.45454545454545,78.0
Accompagnement à l'emploi,101,40.0,39.603960396039604,61.0
Permanence juridique,87,16.0,18.39080459770115,71.0
Colis Alimentaire,74,40.0,54.054054054054056,34.0
Psychologie,74,12.0,16.216216216216218,62.0
Conseil logement,64,34.0,53.125,30.0
Ordinateur,48,20.0,41.66666666666667,28.0
Atelier numérique,43,15.0,34.883720930232556,28.0
Vaccination,39,35.0,89.74358974358975,4.0
Suivi grossesse,38,34.0,89.47368421052632,4.0
Formation français,35,10.0,28.57142857142857,25.0
Vêtements,29,10.0,34.48275862068966,19.0
Magasin solidaire,27,14.0,51.85185185185185,13.0
Restauration assise,24,5.0,20.833333333333336,19.0
Epicerie AideSociale,22,8.0,36.36363636363637,14.0
Distribution alimentaire,19,5.0,26.31578947368421,14.0
Ecrivain public,19,14.0,73.68421052631578,5.0
Soutien scolaire,14,5.0,35.714285714285715,9.0
Dépistage,14,9.0,64.28571428571429,5.0
Domiciliation,13,2.0,15.384615384615385,11.0
Généraliste,13,4.0,30.76923076923077,9.0
Accueil de jour,12,5.0,41.66666666666667,7.0
Douche,12,3.0,25.0,9.0
Addiction,12,2.0,16.666666666666664,10.0
Infirmerie,11,6.0,54.54545454545454,5.0
Garde d'enfants,8,1.0,12.5,7.0
Bibliothèque,7,2.0,28.57142857142857,5.0
Bien-être,7,3.0,42.857142857142854,4.0
Laverie,7,,,
Hébergement d'urgence,7,1.0,14.285714285714285,6.0
Prise,6,1.0,16.666666666666664,5.0
Bagagerie,6,2.0,33.33333333333333,4.0
Téléphones,5,1.0,20.0,4.0
Sport,4,,,
Espaces de repos,4,,,
Chantier d'insertion,4,,,
Soins enfants,4,1.0,25.0,3.0
Halte de nuit,3,,,
Hébergement à long terme,2,,,
Musée,1,,,
Animaux,1,,,
Dentaire,1,,,
Logement bas prix,1,,,
Vétérinaire,1,,,
