catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Accompagnement social,1332,321.0,24.1,1011.0
Conseil administratif,1275,371.0,29.1,904.0
Activités,1215,533.0,43.9,682.0
Permanence juridique,992,421.0,42.4,571.0
Accompagnement à l'emploi,909,240.0,26.4,669.0
Formation français,797,470.0,59.0,327.0
Psychologie,670,169.0,25.2,501.0
Ordinateur,540,164.0,30.4,376.0
Soins enfants,474,133.0,28.1,341.0
Suivi grossesse,454,123.0,27.1,331.0
Domiciliation,441,27.0,6.1,414.0
Colis Alimentaire,427,242.0,56.7,185.0
Conseil logement,381,94.0,24.7,287.0
Vêtements,355,190.0,53.5,165.0
Soutien scolaire,350,200.0,57.1,150.0
Addiction,346,51.0,14.7,295.0
Accueil de jour,325,109.0,33.5,216.0
Ecrivain public,321,176.0,54.8,145.0
Bibliothèque,313,95.0,30.4,218.0
Atelier numérique,306,163.0,53.3,143.0
Généraliste,287,49.0,17.1,238.0
Restauration assise,286,90.0,31.5,196.0
Infirmerie,247,35.0,14.2,212.0
Conseil handicap,235,11.0,4.7,224.0
Dépistage,219,58.0,26.5,161.0
Distribution alimentaire,195,64.0,32.8,131.0
Sport,180,59.0,32.8,121.0
Douche,175,46.0,26.3,129.0
Prise,139,43.0,30.9,96.0
Magasin solidaire,137,71.0,51.8,66.0
Epicerie AideSociale,129,59.0,45.7,70.0
Laverie,121,33.0,27.3,88.0
Vaccination,118,22.0,18.6,96.0
Bien-être,111,46.0,41.4,65.0
Dentaire,98,18.0,18.4,80.0
Chantier d'insertion,96,17.0,17.7,79.0
Bagagerie,39,7.0,17.9,32.0
Numérisation de documents,38,1.0,2.6,37.0
Hébergement à long terme,36,1.0,2.8,35.0
Garde d'enfants,34,15.0,44.1,19.0
Téléphones,32,10.0,31.2,22.0
Hébergement d'urgence,29,,,
Musée,27,5.0,18.5,22.0
Protections périodiques,14,7.0,50.0,7.0
Espaces de repos,12,1.0,8.3,11.0
Halte de nuit,6,,,
Logement bas prix,5,,,
Masques,5,3.0,60.0,2.0
Animaux,3,1.0,33.3,2.0
Vétérinaire,3,,,
