name,Fermeture_Estivale,colors,longitude,latitude
Centre dentaire de Melun,Fermé,red,2.6530331999999817,48.5265625
Croix rouge - Vestiboutique de Nemours,Ouvert,green,2.6976113000000623,48.2664187
Point d'Accès aux Droits de Coulommiers,Ouvert,green,3.0857579999999416,48.81294
Point d'Accès aux Droits de Nemours,Ouvert,green,2.6918383,48.2658674
Point d'Accès aux Droits de Chessy,Ouvert,green,2.7739137999999457,48.8567203
Maison de la Justice et du Droit Meaux,Ouvert,green,2.912712699999929,48.9522738
Maison de la Justice et du Droit de Pontault-Combault,Fermé,red,2.6077308999999786,48.8006151
Maison de Justice et du Droit de Sénart,Fermé,red,2.582967800000006,48.594228
Centre d'activités sociales - Trait d'Union,Ouvert,green,2.5637172,48.6584672
Mission Locale de la Brie et des Morins,Ouvert,green,3.0834926,48.8076418
Mission locale de la Plaine de France,Ouvert,green,2.6124445,48.9825161
Mission locale du Bassin d'emploi de Meaux,Ouvert,green,2.882131500000014,48.9602213
Mission locale de la Seine et du Loing,Ouvert,green,2.698893099999964,48.2657247
Mission Locale du Plateau de Brie,Ouvert,green,2.6909577,48.7675758
Mission locale de Sénart,Ouvert,green,2.5687729999999647,48.623908
Mission locale du Val Maubuée à Torcy,Ouvert,green,2.6359386,48.8501763
Mission locale des Boucles de la Marne,Ouvert,green,2.7054598,48.87922200000001
Mission locale du Bassin Chellois,Ouvert,green,2.5888515000000325,48.87321250000001
Mission locale du Provinois,Ouvert,green,3.302790400000049,48.56030699999999
 CAARUD - Emergences Marne-la-Vallée - Torcy,Ouvert,green,2.6504994,48.84125150000001
CAARUD - Interl'UD 77,Ouvert,green,2.674414899999988,48.54049839999999
CSAPA - Service Hévéa au Centre Hospitalier de Meaux,Ouvert,green,2.886033099999999,48.9675863
CSAPA de Provins - Association APS Contact,Ouvert,green,3.293677299999999,48.55758429999999
CSAPA de Montereau - Association APS Contact,Ouvert,green,2.9533075,48.38187569999999
CSAPA Le Carrousel - Melun,Fermé,red,2.6575292999999647,48.5369104
CSAPA de Noisiel - Association Addictions France,Modification,orange,2.6178843,48.8442667
CSAPA de Villeparisis - Association Addictions France,Ouvert,green,2.603176200000007,48.9456999
Consultations Jeunes Consommateurs (CJC) de Mitry-Mory - Association Addictions France,Ouvert,green,2.603697699999998,48.9553014
CSAPA de Dammarie-les-Lys - Association Addictions France,Modification,orange,2.613140899999962,48.5118692
Mission Emploi Insertion Melun Val-de-Seine,Ouvert,green,2.6784623,48.5426781
Epicerie sociale - Association Lysea (LYs Solidarité Ecoute Accueil),Ouvert,green,2.639815,48.52005339999999
Epicerie Solidaire - Melisa (Melun Insertion Solidarité Accueil),Fermé,red,2.647359800000004,48.5468335
Epicerie sociale - L’Epi,Ouvert,green,2.6083527000000686,48.79471419999999
Epicerie sociale - Le Grenier 77,Ouvert,green,2.962465199999997,48.6862108
Association Coeurs en Couleurs ,Fermé,red,3.012116,48.7355777
Epicerie solidaire - L'autre Rive,Fermé,red,2.6138382,48.56731629999999
Epicerie solidaire - Association Solidarité Déméter,Fermé,red,2.7465631,48.4300077
Le Kiosque - Médiathèque de Brou-sur-Chantereine,Ouvert,green,2.623641799999973,48.8812659
Médiathèque Astrolabe de Melun,Fermé,red,2.6549470999999585,48.5369307
Médiathèque Gérard Billy,Ouvert,green,2.704134599999975,48.8763416
Epicerie sociale - Coeur d'échange,Fermé,red,2.5683397,48.8743014
Je Suis Charclo Melun,Ouvert,green,2.6635761,48.5357164
La Boussole Urbaine - Melun,Ouvert,green,2.6647627,48.5387288
Accueil de jour de Roissy-en-Brie - Association Empreintes,Ouvert,green,2.6502413,48.7968607
Pro Emploi Interim - Dammarie-lès-Lys,Ouvert,green,2.6435916,48.53148909999999
CCAS de Claye-Souilly,Ouvert,green,2.6882778,48.9460745
CCAS de Compans,Fermé,red,2.6617263,48.9944145
CCAS de Dammartin-en-Goële ,Ouvert,green,2.6786009,49.05416349999999
Centre Communal d'Action Sociale (CCAS) de Juilly,Ouvert,green,2.7054947,49.01545590000001
CCAS de Villeparisis,Ouvert,green,2.6170735,48.93994730000001
CCAS de Coulommiers,Ouvert,green,3.0879246,48.8092966
CCAS d'Avon,Ouvert,green,2.7354366,48.4123988
CCAS de Brie-Comte-Robert,Ouvert,green,2.6109779,48.694578
CCAS de Bussy-Saint-Georges,Fermé,red,2.7098803,48.8372616
Accueil de jour du CCAF (Collectif Chrétien d'Action Fraternelle) - Chelles,Ouvert,green,2.5805392,48.8727932
Association Paroles de femmes - Le relais / établissement Le Relais de Sénart,Ouvert,green,2.6190395,48.5704676
Association Paroles de femmes - Le relais - La maison des femmes,Ouvert,green,2.9527119,48.38183249999999
Association SOS Femmes - Accueil de jour - Meaux,Ouvert,green,2.8755446,48.96052330000001
Accueil de jour - Association ARILE Site Horizon,Fermé,red,2.912044,48.96134939999999
Accueil de jour de Meaux - Association Equalis,Ouvert,green,2.8722734,48.9545757
Accueil de jour de Melun - Association Le Sentier,Modification,orange,2.6553112,48.5441389
"Centre social Almont et médiathèque - ""La Boussole""",Ouvert,green,2.6759893,48.542428
Bureau Information Jeunesse (BIJ),Ouvert,green,2.661649799999999,48.54451649999999
Centre Social Picot - Quartier Montaigu Melun,Ouvert,green,2.6549729,48.54992679999999
Espace jeunes Schuman - Melun,Ouvert,green,2.639918,48.5538785
Croix Rouge - Accueil de jour de Chelles,Ouvert,green,2.596573,48.8760156
Croix Rouge - Unité locale de Fontainebleau,Ouvert,green,2.697210499999999,48.41179529999999
Association Humanité Sans Faim,Ouvert,green,2.6625389,48.5390606
